holiday_row_id,date,type,locale,locale_name,description,transferred,concept,removed_prefixes,normalization_flags,case_insensitive_concept,case_insensitive_removed_prefixes,concept_family,excluded_before_application,pre_application_exclusion_reason
207,2015-12-24,Additional,National,Ecuador,Navidad-1,False,Navidad,,numeric_suffix_removed,Navidad,,,False,
209,2015-12-26,Additional,National,Ecuador,Navidad+1,False,Navidad,,numeric_suffix_removed,Navidad,,,False,
210,2015-12-31,Additional,National,Ecuador,Primer dia del ano-1,False,Primer dia del ano,,numeric_suffix_removed,Primer dia del ano,,,False,
220,2016-04-17,Event,National,Ecuador,Terremoto Manabi+1,False,Terremoto Manabi,,numeric_suffix_removed,Terremoto Manabi,,,False,
221,2016-04-18,Event,National,Ecuador,Terremoto Manabi+2,False,Terremoto Manabi,,numeric_suffix_removed,Terremoto Manabi,,,False,
222,2016-04-19,Event,National,Ecuador,Terremoto Manabi+3,False,Terremoto Manabi,,numeric_suffix_removed,Terremoto Manabi,,,False,
223,2016-04-20,Event,National,Ecuador,Terremoto Manabi+4,False,Terremoto Manabi,,numeric_suffix_removed,Terremoto Manabi,,,False,
225,2016-04-21,Event,National,Ecuador,Terremoto Manabi+5,False,Terremoto Manabi,,numeric_suffix_removed,Terremoto Manabi,,,False,
226,2016-04-22,Event,National,Ecuador,Terremoto Manabi+6,False,Terremoto Manabi,,numeric_suffix_removed,Terremoto Manabi,,,False,
227,2016-04-23,Event,National,Ecuador,Terremoto Manabi+7,False,Terremoto Manabi,,numeric_suffix_removed,Terremoto Manabi,,,False,
228,2016-04-24,Event,National,Ecuador,Terremoto Manabi+8,False,Terremoto Manabi,,numeric_suffix_removed,Terremoto Manabi,,,False,
229,2016-04-25,Event,National,Ecuador,Terremoto Manabi+9,False,Terremoto Manabi,,numeric_suffix_removed,Terremoto Manabi,,,False,
230,2016-04-26,Event,National,Ecuador,Terremoto Manabi+10,False,Terremoto Manabi,,numeric_suffix_removed,Terremoto Manabi,,,False,
231,2016-04-27,Event,National,Ecuador,Terremoto Manabi+11,False,Terremoto Manabi,,numeric_suffix_removed,Terremoto Manabi,,,False,
232,2016-04-28,Event,National,Ecuador,Terremoto Manabi+12,False,Terremoto Manabi,,numeric_suffix_removed,Terremoto Manabi,,,False,
233,2016-04-29,Event,National,Ecuador,Terremoto Manabi+13,False,Terremoto Manabi,,numeric_suffix_removed,Terremoto Manabi,,,False,
234,2016-04-30,Event,National,Ecuador,Terremoto Manabi+14,False,Terremoto Manabi,,numeric_suffix_removed,Terremoto Manabi,,,False,
236,2016-05-01,Event,National,Ecuador,Terremoto Manabi+15,False,Terremoto Manabi,,numeric_suffix_removed,Terremoto Manabi,,,False,
237,2016-05-02,Event,National,Ecuador,Terremoto Manabi+16,False,Terremoto Manabi,,numeric_suffix_removed,Terremoto Manabi,,,False,
238,2016-05-03,Event,National,Ecuador,Terremoto Manabi+17,False,Terremoto Manabi,,numeric_suffix_removed,Terremoto Manabi,,,False,
239,2016-05-04,Event,National,Ecuador,Terremoto Manabi+18,False,Terremoto Manabi,,numeric_suffix_removed,Terremoto Manabi,,,False,
240,2016-05-05,Event,National,Ecuador,Terremoto Manabi+19,False,Terremoto Manabi,,numeric_suffix_removed,Terremoto Manabi,,,False,
241,2016-05-06,Event,National,Ecuador,Terremoto Manabi+20,False,Terremoto Manabi,,numeric_suffix_removed,Terremoto Manabi,,,False,
242,2016-05-07,Additional,National,Ecuador,Dia de la Madre-1,False,Dia de la Madre,,numeric_suffix_removed,Dia de la Madre,,,False,
243,2016-05-07,Event,National,Ecuador,Terremoto Manabi+21,False,Terremoto Manabi,,numeric_suffix_removed,Terremoto Manabi,,,False,
244,2016-05-08,Event,National,Ecuador,Terremoto Manabi+22,False,Terremoto Manabi,,numeric_suffix_removed,Terremoto Manabi,,,False,
246,2016-05-09,Event,National,Ecuador,Terremoto Manabi+23,False,Terremoto Manabi,,numeric_suffix_removed,Terremoto Manabi,,,False,
247,2016-05-10,Event,National,Ecuador,Terremoto Manabi+24,False,Terremoto Manabi,,numeric_suffix_removed,Terremoto Manabi,,,False,
248,2016-05-11,Event,National,Ecuador,Terremoto Manabi+25,False,Terremoto Manabi,,numeric_suffix_removed,Terremoto Manabi,,,False,
250,2016-05-12,Event,National,Ecuador,Terremoto Manabi+26,False,Terremoto Manabi,,numeric_suffix_removed,Terremoto Manabi,,,False,
251,2016-05-13,Event,National,Ecuador,Terremoto Manabi+27,False,Terremoto Manabi,,numeric_suffix_removed,Terremoto Manabi,,,False,
252,2016-05-14,Event,National,Ecuador,Terremoto Manabi+28,False,Terremoto Manabi,,numeric_suffix_removed,Terremoto Manabi,,,False,
253,2016-05-15,Event,National,Ecuador,Terremoto Manabi+29,False,Terremoto Manabi,,numeric_suffix_removed,Terremoto Manabi,,,False,
254,2016-05-16,Event,National,Ecuador,Terremoto Manabi+30,False,Terremoto Manabi,,numeric_suffix_removed,Terremoto Manabi,,,False,
264,2016-07-24,Additional,Local,Guayaquil,Fundacion de Guayaquil-1,False,Fundacion de Guayaquil,,numeric_suffix_removed,Fundacion de Guayaquil,,Fundacion,False,
279,2016-11-07,Holiday,Regional,Santa Elena,Provincializacion Santa Elena,False,Provincializacion Santa Elena,,,Provincializacion Santa Elena,,Provincializacion,False,
286,2016-12-05,Additional,Local,Quito,Fundacion de Quito-1,False,Fundacion de Quito,,numeric_suffix_removed,Fundacion de Quito,,Fundacion,False,
289,2016-12-21,Additional,National,Ecuador,Navidad-4,False,Navidad,,numeric_suffix_removed,Navidad,,,False,
290,2016-12-22,Additional,National,Ecuador,Navidad-3,False,Navidad,,numeric_suffix_removed,Navidad,,,False,
292,2016-12-23,Additional,National,Ecuador,Navidad-2,False,Navidad,,numeric_suffix_removed,Navidad,,,False,
293,2016-12-24,Additional,National,Ecuador,Navidad-1,False,Navidad,,numeric_suffix_removed,Navidad,,,False,
295,2016-12-26,Additional,National,Ecuador,Navidad+1,False,Navidad,,numeric_suffix_removed,Navidad,,,False,
296,2016-12-31,Additional,National,Ecuador,Primer dia del ano-1,False,Primer dia del ano,,numeric_suffix_removed,Primer dia del ano,,,False,
310,2017-05-13,Additional,National,Ecuador,Dia de la Madre-1,False,Dia de la Madre,,numeric_suffix_removed,Dia de la Madre,,,False,
321,2017-07-24,Additional,Local,Guayaquil,Fundacion de Guayaquil-1,False,Fundacion de Guayaquil,,numeric_suffix_removed,Fundacion de Guayaquil,,Fundacion,False,
335,2017-11-07,Holiday,Regional,Santa Elena,Provincializacion Santa Elena,False,Provincializacion Santa Elena,,,Provincializacion Santa Elena,,Provincializacion,False,
339,2017-12-05,Additional,Local,Quito,Fundacion de Quito-1,False,Fundacion de Quito,,numeric_suffix_removed,Fundacion de Quito,,Fundacion,False,
343,2017-12-21,Additional,National,Ecuador,Navidad-4,False,Navidad,,numeric_suffix_removed,Navidad,,,False,
345,2017-12-22,Additional,National,Ecuador,Navidad-3,False,Navidad,,numeric_suffix_removed,Navidad,,,False,
346,2017-12-23,Additional,National,Ecuador,Navidad-2,False,Navidad,,numeric_suffix_removed,Navidad,,,False,
347,2017-12-24,Additional,National,Ecuador,Navidad-1,False,Navidad,,numeric_suffix_removed,Navidad,,,False,
349,2017-12-26,Additional,National,Ecuador,Navidad+1,False,Navidad,,numeric_suffix_removed,Navidad,,,False,
