concept,eval_date,affected_store_count,event_store_units,types,locales,locale_names,states,cities,concept_family,year
Independencia de Guayaquil,2016-10-09,53,53,Holiday,National,Ecuador,Azuay|Bolivar|Chimborazo|Cotopaxi|El Oro|Esmeraldas|Guayas|Imbabura|Loja|Los Rios|Manabi|Pastaza|Pichincha|Santa Elena|Santo Domingo de los Tsachilas|Tungurahua,Ambato|Babahoyo|Cayambe|Cuenca|Daule|El Carmen|Esmeraldas|Guaranda|Guayaquil|Ibarra|Latacunga|Libertad|Loja|Machala|Manta|Playas|Puyo|Quito|Riobamba|Salinas|Santo Domingo,,2016
Independencia de Guaranda,2016-11-10,1,1,Holiday,Local,Guaranda,Bolivar,Guaranda,,2016
Independencia de Latacunga,2016-11-11,2,2,Holiday,Local,Latacunga,Cotopaxi,Latacunga,,2016
Independencia de Ambato,2016-11-12,2,2,Holiday,Local,Ambato,Tungurahua,Ambato,,2016
Fundacion de Quito,2016-12-05,18,18,Additional|Holiday,Local,Quito,Pichincha,Quito,Fundacion,2016
Fundacion de Loja,2016-12-08,1,1,Holiday,Local,Loja,Loja,Loja,Fundacion,2016
Navidad,2016-12-21,53,53,Additional|Holiday,National,Ecuador,Azuay|Bolivar|Chimborazo|Cotopaxi|El Oro|Esmeraldas|Guayas|Imbabura|Loja|Los Rios|Manabi|Pastaza|Pichincha|Santo Domingo de los Tsachilas|Tungurahua,Ambato|Babahoyo|Cayambe|Cuenca|Daule|El Carmen|Esmeraldas|Guaranda|Guayaquil|Ibarra|Latacunga|Libertad|Loja|Machala|Manta|Playas|Puyo|Quevedo|Quito|Riobamba|Santo Domingo,,2016
Primer dia del ano,2016-12-31,54,54,Additional,National,Ecuador,Azuay|Bolivar|Chimborazo|Cotopaxi|El Oro|Esmeraldas|Guayas|Imbabura|Loja|Los Rios|Manabi|Pastaza|Pichincha|Santa Elena|Santo Domingo de los Tsachilas|Tungurahua,Ambato|Babahoyo|Cayambe|Cuenca|Daule|El Carmen|Esmeraldas|Guaranda|Guayaquil|Ibarra|Latacunga|Libertad|Loja|Machala|Manta|Playas|Puyo|Quevedo|Quito|Riobamba|Salinas|Santo Domingo,,2016
Primer dia del ano,2017-01-02,54,54,Transfer,National,Ecuador,Azuay|Bolivar|Chimborazo|Cotopaxi|El Oro|Esmeraldas|Guayas|Imbabura|Loja|Los Rios|Manabi|Pastaza|Pichincha|Santa Elena|Santo Domingo de los Tsachilas|Tungurahua,Ambato|Babahoyo|Cayambe|Cuenca|Daule|El Carmen|Esmeraldas|Guaranda|Guayaquil|Ibarra|Latacunga|Libertad|Loja|Machala|Manta|Playas|Puyo|Quevedo|Quito|Riobamba|Salinas|Santo Domingo,,2017
Carnaval,2017-02-27,52,52,Holiday,National,Ecuador,Azuay|Bolivar|Chimborazo|Cotopaxi|El Oro|Esmeraldas|Guayas|Imbabura|Loja|Los Rios|Manabi|Pastaza|Pichincha|Santa Elena|Santo Domingo de los Tsachilas|Tungurahua,Ambato|Babahoyo|Cayambe|Cuenca|Daule|El Carmen|Esmeraldas|Guaranda|Guayaquil|Ibarra|Latacunga|Libertad|Loja|Machala|Playas|Puyo|Quevedo|Quito|Riobamba|Salinas|Santo Domingo,,2017
Provincializacion de Cotopaxi,2017-04-01,2,2,Holiday,Regional,Cotopaxi,Cotopaxi,Latacunga,Provincializacion,2017
Viernes Santo,2017-04-14,50,50,Holiday,National,Ecuador,Bolivar|Chimborazo|Cotopaxi|El Oro|Esmeraldas|Guayas|Imbabura|Loja|Los Rios|Manabi|Pastaza|Pichincha|Santa Elena|Santo Domingo de los Tsachilas|Tungurahua,Ambato|Babahoyo|Cayambe|Daule|El Carmen|Esmeraldas|Guaranda|Guayaquil|Ibarra|Latacunga|Loja|Machala|Manta|Playas|Puyo|Quevedo|Quito|Riobamba|Salinas|Santo Domingo,,2017
Cantonizacion de Riobamba,2017-04-21,1,1,Holiday,Local,Riobamba,Chimborazo,Riobamba,Cantonizacion,2017
Dia del Trabajo,2017-05-01,54,54,Holiday,National,Ecuador,Azuay|Bolivar|Chimborazo|Cotopaxi|El Oro|Esmeraldas|Guayas|Imbabura|Loja|Los Rios|Manabi|Pastaza|Pichincha|Santa Elena|Santo Domingo de los Tsachilas|Tungurahua,Ambato|Babahoyo|Cayambe|Cuenca|Daule|El Carmen|Esmeraldas|Guaranda|Guayaquil|Ibarra|Latacunga|Libertad|Loja|Machala|Manta|Playas|Puyo|Quevedo|Quito|Riobamba|Salinas|Santo Domingo,,2017
Dia de la Madre,2017-05-13,53,53,Additional|Event,National,Ecuador,Azuay|Bolivar|Chimborazo|Cotopaxi|El Oro|Esmeraldas|Guayas|Imbabura|Loja|Los Rios|Manabi|Pichincha|Santa Elena|Santo Domingo de los Tsachilas|Tungurahua,Ambato|Babahoyo|Cayambe|Cuenca|Daule|El Carmen|Esmeraldas|Guaranda|Guayaquil|Ibarra|Latacunga|Libertad|Loja|Machala|Manta|Playas|Quevedo|Quito|Riobamba|Salinas|Santo Domingo,,2017
Batalla de Pichincha,2017-05-26,54,54,Transfer,National,Ecuador,Azuay|Bolivar|Chimborazo|Cotopaxi|El Oro|Esmeraldas|Guayas|Imbabura|Loja|Los Rios|Manabi|Pastaza|Pichincha|Santa Elena|Santo Domingo de los Tsachilas|Tungurahua,Ambato|Babahoyo|Cayambe|Cuenca|Daule|El Carmen|Esmeraldas|Guaranda|Guayaquil|Ibarra|Latacunga|Libertad|Loja|Machala|Manta|Playas|Puyo|Quevedo|Quito|Riobamba|Salinas|Santo Domingo,,2017
Cantonizacion de Guaranda,2017-06-23,1,1,Holiday,Local,Guaranda,Bolivar,Guaranda,Cantonizacion,2017
Cantonizacion de Latacunga,2017-06-25,2,2,Holiday,Local,Latacunga,Cotopaxi,Latacunga,Cantonizacion,2017
Fundacion de Machala,2017-06-25,2,2,Holiday,Local,Machala,El Oro,Machala,Fundacion,2017
Provincializacion de Imbabura,2017-06-25,1,1,Holiday,Regional,Imbabura,Imbabura,Ibarra,Provincializacion,2017
Cantonizacion de El Carmen,2017-07-03,1,1,Holiday,Local,El Carmen,Manabi,El Carmen,Cantonizacion,2017
Fundacion de Santo Domingo,2017-07-03,3,3,Holiday,Local,Santo Domingo,Santo Domingo de los Tsachilas,Santo Domingo,Fundacion,2017
Cantonizacion de Cayambe,2017-07-23,1,1,Holiday,Local,Cayambe,Pichincha,Cayambe,Cantonizacion,2017
Fundacion de Guayaquil,2017-07-24,8,8,Additional,Local,Guayaquil,Guayas,Guayaquil,Fundacion,2017
Fundacion de Esmeraldas,2017-08-05,1,1,Holiday,Local,Esmeraldas,Esmeraldas,Esmeraldas,Fundacion,2017
Primer Grito de Independencia,2017-08-11,54,54,Transfer,National,Ecuador,Azuay|Bolivar|Chimborazo|Cotopaxi|El Oro|Esmeraldas|Guayas|Imbabura|Loja|Los Rios|Manabi|Pastaza|Pichincha|Santa Elena|Santo Domingo de los Tsachilas|Tungurahua,Ambato|Babahoyo|Cayambe|Cuenca|Daule|El Carmen|Esmeraldas|Guaranda|Guayaquil|Ibarra|Latacunga|Libertad|Loja|Machala|Manta|Playas|Puyo|Quevedo|Quito|Riobamba|Salinas|Santo Domingo,,2017
